Season,"No.overall",Episode,Title,Directed by,Written by,Original air date,"Prod.code","U.S. viewers(millions)"
9,217,23,"The One in Barbados: Part 1",Kevin S. Bright,"Part 1: Shana Goldberg-Meehan & Scott Silveri Part 2: Marta Kauffman & David Crane","May 15, 2003[b]","175273/175274",25.46
9,218,24,"The One in Barbados: Part 2",Kevin S. Bright,"Part 1: Shana Goldberg-Meehan & Scott Silveri Part 2: Marta Kauffman & David Crane","May 15, 2003[b]","175273/175274",25.46
10,219,1,"The One After Joey and Rachel Kiss",Kevin S. Bright,Andrew Reich & Ted Cohen,"September 25, 2003",176251,24.54
10,220,2,"The One Where Ross Is Fine",Ben Weiss,Sherry Bilsing-Graham & Ellen Plummer,"October 2, 2003",176252,22.38
10,221,3,"The One with Ross's Tan",Gary Halvorson,Brian Buckner,"October 9, 2003",176253,21.87
10,222,4,"The One with the Cake",Gary Halvorson,Robert Carlock,"October 23, 2003",176254,18.77
10,223,5,"The One Where Rachel's Sister Babysits",Roger Christiansen,Dana Klein Borkow,"October 30, 2003",176255,19.37
10,224,6,"The One with Ross' Grant",Ben Weiss,Sebastian Jones,"November 6, 2003",176256,20.38
10,225,7,"The One with the Home Study",Kevin S. Bright,Mark Kunerth,"November 13, 2003",176257,20.21
10,226,8,"The One with the Late Thanksgiving",Gary Halvorson,Shana Goldberg-Meehan,"November 20, 2003",176259,20.66
10,227,9,"The One with the Birth Mother",David Schwimmer,Scott Silveri,"January 8, 2004",176258,25.49
10,228,10,"The One Where Chandler Gets Caught",Gary Halvorson,Doty Abrams,"January 15, 2004",176268,26.68
10,229,11,"The One Where the Stripper Cries",Kevin S. Bright,David Crane & Marta Kauffman,"February 5, 2004",176260,24.91
10,230,12,"The One with Phoebe's Wedding",Kevin S. Bright,Robert Carlock & Dana Klein Borkow,"February 12, 2004",176262,25.9
10,231,13,"The One Where Joey Speaks French",Gary Halvorson,Sherry Bilsing-Graham & Ellen Plummer,"February 19, 2004",176261,24.27
10,232,14,"The One with Princess Consuela",Gary Halvorson,"Story: Robert Carlock Teleplay: Tracy Reilly","February 26, 2004",176263,22.83
10,233,15,"The One Where Estelle Dies",Gary Halvorson,"Story: Mark Kunerth Teleplay: David Crane & Marta Kauffman","April 22, 2004",176264,22.64
10,234,16,"The One with Rachel's Going Away Party",Gary Halvorson,Andrew Reich & Ted Cohen,"April 29, 2004",176265,24.51
10,235,17,"The Last One: Part 1",Kevin S. Bright,Marta Kauffman & David Crane,"May 6, 2004[b]","176266/176267",52.46
10,236,18,"The Last One: Part 2",Kevin S. Bright,Marta Kauffman & David Crane,"May 6, 2004[b]","176266/176267",52.46
